YEAR,MEAN_TEMPERATURE_CALGARY,MEAN_TEMPERATURE_EDMONTON,MEAN_TEMPERATURE_HALIFAX,MEAN_TEMPERATURE_MONCTON,MEAN_TEMPERATURE_MONTREAL,MEAN_TEMPERATURE_OTTAWA,MEAN_TEMPERATURE_QUEBEC,MEAN_TEMPERATURE_SASKATOON,MEAN_TEMPERATURE_STJOHNS,MEAN_TEMPERATURE_TORONTO,MEAN_TEMPERATURE_VANCOUVER,MEAN_TEMPERATURE_WHITEHORSE,MEAN_TEMPERATURE_WINNIPEG
1973,3.555616438,1.518630137,6.648219178,5.847945205,7.019452055,6.88,5.053424658,2.211780822,4.964657534,8.024657534,9.588219178,-2.768219178,3.134520548
1974,4.107671233,1.543013699,5.597534247,4.591506849,5.46,5.493972603,3.395068493,1.558082192,3.787945205,6.870958904,9.908767123,-1.569041096,1.653424658
1975,2.897534247,0.954246575,6.103287671,5.05260274,6.597534247,6.529589041,4.450136986,1.148493151,4.06109589,7.771232877,9.154246575,-2.888493151,2.446575342
1976,5.194808743,3.16010929,6.425956284,5.044262295,5.07704918,4.896448087,3.007923497,3.159289617,4.970218579,6.213114754,9.70273224,0.112021858,2.293169399
1977,4.030684932,2.532328767,6.435890411,5.169589041,6.114520548,5.950136986,4.346575342,2.610410959,4.911232877,7.080821918,9.792328767,-0.026027397,3.230136986
1978,2.778356164,1.976712329,5.643561644,4.437260274,5.138356164,5.131232877,3.363561644,1.56630137,4.116438356,6.306027397,9.961643836,0.036438356,1.603287671
1979,3.367123288,1.777808219,6.796164384,5.980821918,6.427671233,6.050684932,4.70989011,1.148493151,5.365753425,6.952054795,10.06,-1.191506849,0.829315068
1980,3.971038251,2.2,5.531693989,4.443989071,5.213661202,5.156284153,3.334972678,2.644535519,4.048360656,6.67704918,9.833333333,-0.641803279,2.616393443
1981,5.898082192,4.537808219,6.98109589,5.956164384,6.50630137,6.395342466,4.747123288,4.67890411,5.912054795,7.180273973,10.46493151,1.280547945,4.444109589
1982,2.372876712,0.329315068,6.115342466,4.772328767,5.95890411,5.724657534,3.775616438,0.587671233,4.279452055,6.906575342,9.620821918,-2.688493151,1.96
1983,4.268219178,2.369589041,7.189863014,5.961369863,6.964657534,6.582191781,5.132328767,2.516483516,5.494246575,7.821643836,10.39753425,-1.487123288,3.564657534
1984,4.144808743,2.652459016,7.033333333,5.536065574,6.514794521,6.298087432,4.650819672,3.087704918,5.231420765,7.305737705,9.792622951,0.156284153,3.26010929
1985,3.855616438,2.430684932,5.642739726,4.495890411,5.897260274,5.710958904,3.915068493,1.488767123,3.730684932,7.26109589,8.924383562,-0.649041096,1.481643836
1986,5.372054795,3.676438356,5.72109589,4.356164384,6.132054795,6.1,3.671232877,3.504109589,4.256438356,7.626027397,10.45123288,0.310410959,3.228493151
1987,6.778356164,5.021917808,6.074520548,5.079452055,6.856164384,6.887945205,4.91369863,5.133424658,4.632054795,8.609863014,11.02821918,1.454246575,5.496164384
1988,5.63715847,4.218579235,6.198360656,4.996994536,6.621584699,6.236612022,4.346994536,3.555191257,5.232786885,7.893715847,10.50218579,0.239071038,3.679234973
1989,3.985479452,2.541369863,5.635616438,4.403021978,5.724383562,5.303835616,3.451780822,2.018082192,4.595068493,7.083561644,10.20383562,-0.410410959,1.940547945
1990,4.548901099,3.085164835,7.071978022,5.93956044,7.379945055,7.092582418,4.997252747,2.54010989,4.696153846,8.796428571,10.27884615,-1.437912088,3.314010989
1991,5.03369863,3.578630137,6.810164835,5.215068493,7.164657534,7.097260274,4.738356164,3.116438356,3.92630137,8.954246575,10.19342466,0.118630137,3.537260274
1992,5.648450704,3.746666667,5.594808743,4.325409836,5.61800554,5.172853186,3.613114754,3.409269663,3.661917808,7.14432133,11.13977901,0.258611111,3.149719101
1993,4.639344262,3.424458204,5.682465753,4.26,6.583282675,6.347058824,3.813835616,1.948219178,3.89369863,7.634193548,10.06213873,0.653985507,3.041584158
1994,4.392054795,2.350958904,6.482465753,4.970684932,5.898356164,5.675068493,4.087534247,1.944931507,4.751232877,7.41890411,10.80410959,-0.382739726,3.063561644
1995,3.435616438,1.772876712,6.382739726,4.914794521,6.450287356,6.270136986,4.690136986,1.469315068,4.46739726,7.887945205,11.09612188,0.05369863,2.072054795
1996,1.655342466,0.180327869,6.431506849,5.449726776,6.568306011,6.060382514,4.861731844,-0.496448087,5.300819672,7.190983607,9.773553719,-15.55714286,0.188251366
1997,4.3,3.42032967,5.707142857,4.419178082,5.886575342,5.508219178,3.716712329,2.624657534,4.217260274,7.59890411,10.79753425,-5.994827586,2.374246575
1998,4.559178082,3.250684932,7.496143251,6.336986301,8.643561644,8.32630137,6.045753425,3.599726027,5.617534247,10.20465753,11.3539726,0.178356164,4.681917808
1999,5.130136986,2.880273973,8.362739726,7.284383562,8.241873278,7.706849315,5.926575342,3.423835616,6.634246575,9.508219178,10.28657534,-0.166575342,4.462876712
